Input,Output
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Anthropological_Theory.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Antiviral_Chemistry__Chemotherapy.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Archaeological_Review_from_Cambridge.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Art_History_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Asian_Journal_of_Pentecostal_Studies.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Astroparticle_Physics_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Audiological_Medicine.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Australian_Archaeology_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Australian_Journal_of_Linguistics.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Australian_Journal_of_Physics.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Australian_Quarterly.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Autism_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Automation_and_Remote_Control.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Behavior_Modification_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Behavioral_and_Brain_Sciences.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Beit_Mikra.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Between_the_Species.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Bilingual_Research_Journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Biochemical_Systematics_and_Ecology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Biochemistry_and_Cell_Biology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Biology_and_Philosophy.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Bluebook.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Botany_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_BoundaryLayer_Meteorology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_British_Journal_of_Clinical_Pharmacology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_British_Scholar_Society.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Bulletin_of_the_History_of_Archaeology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Bulletins_of_American_Paleontology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Business_Information_Review.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Business__Society.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Byzantinische_Zeitschrift.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Cadence_Magazine.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Canadian_Journal_of_Microbiology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Canadian_Journal_of_Occupational_Therapy.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Canadian_Woman_Studies.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Canteen_magazine.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Capitalism_Nature_Socialism.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Check_List.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Chemical_Vapor_Deposition_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Chinese_Physics_Letters.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_ClinAlert.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Clinical_Journal_of_Oncology_Nursing.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Clinical_Nurse_Specialist_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Clinical_Ovarian_Cancer__Other_Gynecologic_Malignancies.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Clinical_Proteomics.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Code_of_Federal_Regulations.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Communications_of_the_Lunar_and_Planetary_Laboratory.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Concordia_Theological_Quarterly.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Cosmic_Research.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Crystal_Growth__Design.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Cultural_Diversity_and_Ethnic_Minority_Psychology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Cytoskeleton_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Cytotherapy_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Debatte.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Developmental_Neurorehabilitation.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Deviant_Behavior_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Disability_and_Rehabilitation_Assistive_Technology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Drugs__Aging.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Drugs_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Earth_Moon_and_Planets.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_East_European_Politics_and_Societies.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Education_Finance_and_Policy.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Educational_Psychologist_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Electronic_Markets_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Electrophoresis_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Enterprise__Society.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Entomologica_Americana_New_York_Entomological_Society.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Environment_and_Behavior.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Environmental_Philosophy_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Equality_Diversity_and_Inclusion.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Ethics__International_Affairs.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Ethnology_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_European_Journal_of_Communication.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_European_Journal_of_International_Relations.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Ex_Auditu.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Expert_Opinion_on_Drug_Delivery.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Expert_Opinion_on_Therapeutic_Targets.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Family_Process.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Fennia_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_First_Amendment_Law_Review.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Fisheries_Research.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Florida_Libraries.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Flow_Turbulence_and_Combustion.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Folio_magazine.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Forest_Ecology_and_Management.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Foro_Interno.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Foundations_of_Chemistry.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Free_Inquiry.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Genes_Brain_and_Behavior.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Geology_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Georgetown_Public_Policy_Review.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Geriatric_Orthopaedic_Surgery__Rehabilitation.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Gesta_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Global_Environmental_Politics.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Hacettepe_Journal_of_Mathematics_and_Statistics.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Henoch_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_History__Memory.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_History_of_Education_Quarterly.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_History_of_Psychiatry_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Horizons_The_Journal_of_the_College_Theology_Society.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Hume_Studies.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Hunger_Mountain.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Hydrogeology_Journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Hypatia_A_Journal_of_Feminist_Philosophy.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_IEEE_Sensors_Journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_IEEE_Transactions_on_Microwave_Theory_and_Techniques.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Icarus_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Immunogenetics_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Indian_Historical_Review.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Indian_Journal_of_Physics.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Industrial__Engineering_Chemistry_Research.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Information_Visualization_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Innate_Immunity_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Inquiry_Critical_Thinking_Across_the_Disciplines.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_International_Affairs_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_International_Journal_of_Astrobiology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_International_Journal_of_Bifurcation_and_Chaos.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_International_Journal_of_Biometeorology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_International_Journal_of_Hematology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_International_Journal_of_Medical_Microbiology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_International_Journal_of_Motorcycle_Studies.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_International_Journal_of_Neuroscience.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_International_Journal_of_Radiation_Biology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_International_Journal_of_SpeechLanguage_Pathology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_International_Political_Science_Review.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Iranian_South_Medical_Journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Israel_Law_Review.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_JGE_The_Journal_of_General_Education.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Japanese_Journal_of_Applied_Physics.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_for_Peace_and_Justice_Studies.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_for_the_History_of_Astronomy.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Alzheimers_Disease.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Anthropological_Archaeology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Arabic_and_Islamic_Studies.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Atmospheric_and_Oceanic_Technology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Biomedical_Optics.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Biomolecular_NMR.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Business_and_Psychology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Cardiovascular_Pharmacology_and_Therapeutics.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Career_Assessment.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Career_Development.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Chemical_Physics.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Child_Neurology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Clinical_Neurophysiology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Colonialism_and_Colonial_History.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Computational_Biology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Cosmetic__Laser_Therapy.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Cosmology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_CrossCultural_Psychology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Dental_Biomechanics.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Educational_Media_Memory_and_Society.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Enzyme_Inhibition_and_Medicinal_Chemistry.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_European_Public_Policy.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Evolutionary_Biology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Experimental_Zoology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Gender_Studies.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Genocide_Research.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Geophysical_Research.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Geosciences.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Germanic_Linguistics.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Humanistic_Psychology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Immunotoxicology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Information_Science.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Intensive_Care_Medicine.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Librarianship_and_Information_Science.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Macromarketing.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Mathematics_and_the_Arts.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Midwifery__Womens_Health.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Molecular_Medicine.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Music_Teacher_Education.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Physical_Chemistry_B.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Journal_of_Postgraduate_Medicine.jpg,AcademicJournal
